Câu hỏi,Trả lời
Bạn dành bao nhiêu thời gian mỗi ngày cho các hoạt động trực tuyến?,Khoảng 6-8 giờ.
Bạn dành bao nhiêu giờ mỗi ngày cho TikTok?,Khoảng 1-2 giờ.
Lượng thời gian bạn sử dụng mạng xã hội mỗi ngày là bao nhiêu?,Trung bình 3-4 giờ.
Bạn dành bao nhiêu giờ mỗi ngày để không sử dụng mạng xã hội?,Khoảng 20 giờ (bao gồm thời gian ngủ).
Mạng xã hội chiếm bao nhiêu phần trăm thời gian hoạt động hàng ngày của bạn?,Khoảng 30-40%.
Bạn thường xuyên sử dụng những loại hình truyền thông trực tuyến nào?,"Mạng xã hội, YouTube, báo điện tử."
"Bạn sử dụng Facebook, Instagram, hay Twitter thường xuyên hơn?",Facebook và Instagram.
Bạn thường xuyên truy cập những trang mạng xã hội nào?,"Facebook, Instagram, TikTok."
Những nền tảng truyền thông xã hội nào bạn ít sử dụng nhất?,"Twitter, LinkedIn."
Nền tảng truyền thông xã hội nào ảnh hưởng lớn nhất đến cuộc sống hàng ngày của bạn?,TikTok và Instagram.
Bạn có thường xuyên kiểm tra thông báo từ các ứng dụng trực tuyến không?,"Có, mỗi giờ một lần."
Bạn có kiểm tra thông báo Facebook mỗi khi có thông báo mới không?,Thỉnh thoảng.
Tần suất bạn xem thông báo mạng xã hội là bao nhiêu?,Khoảng 10-20 lần mỗi ngày.
Bạn có cố tình bỏ qua thông báo trên mạng xã hội không?,Đôi khi có.
Việc kiểm tra thông báo mạng xã hội ảnh hưởng đến sự tập trung của bạn như thế nào?,Làm gián đoạn công việc và giảm năng suất.
Công nghệ có ảnh hưởng đến thói quen học tập của bạn không? Nếu có thì làm thế nào?,"Có, giúp tìm tài liệu nhanh hơn nhưng cũng gây xao nhãng."
Instagram có ảnh hưởng đến điểm số của bạn không?,"Không nhiều, chỉ khi sử dụng quá mức."
Mạng xã hội tác động đến việc học của bạn như thế nào?,"Vừa có lợi (hỗ trợ học tập), vừa có hại (mất tập trung)."
Phương tiện truyền thông xã hội có giúp bạn học tập hiệu quả hơn không?,"Có, nếu sử dụng đúng cách."
Bạn có sử dụng mạng xã hội như một công cụ hỗ trợ học tập không?,"Có, để tìm tài liệu và trao đổi với bạn bè."
Bạn có sử dụng công nghệ cho mục đích học tập không?,"Có, tôi sử dụng công nghệ để hỗ trợ việc học."
Bạn có sử dụng YouTube để xem các bài giảng không?,"Có, tôi thường xem bài giảng trên YouTube."
Bạn có dùng mạng xã hội để hỗ trợ việc học không?,"Có, tôi dùng mạng xã hội để trao đổi kiến thức."
Bạn có tránh sử dụng mạng xã hội khi học không?,"Đôi khi, nhưng không phải lúc nào cũng tránh được."
Mạng xã hội có thể được sử dụng như một công cụ học tập hiệu quả như thế nào?,"Giúp tiếp cận tài liệu, bài giảng và kết nối với chuyên gia."
Bạn đã bao giờ sử dụng Internet để tìm tài liệu học tập chưa?,"Có, tôi thường tìm tài liệu học tập trên Internet."
Bạn đã bao giờ tìm kiếm tài liệu trên các nhóm học tập Facebook chưa?,"Có, tôi từng tìm kiếm tài liệu trên các nhóm học tập Facebook."
Bạn có từng dùng mạng xã hội để tìm kiếm nguồn học liệu không?,"Có, tôi sử dụng mạng xã hội để tìm nguồn học liệu."
Bạn có thích tìm tài liệu học tập từ sách vở hơn là mạng xã hội không?,Tôi thích kết hợp cả sách vở và mạng xã hội để học.
Mạng xã hội giúp bạn tiếp cận tài liệu học tập như thế nào?,Giúp tìm kiếm và chia sẻ tài liệu nhanh chóng.
Bạn có nghĩ công nghệ làm bạn mất tập trung vào công việc không?,"Có, đôi khi công nghệ làm tôi mất tập trung."
Bạn có nghĩ TikTok làm bạn mất tập trung vào việc học không?,"Có, TikTok có thể gây xao nhãng nếu không kiểm soát."
Mạng xã hội có khiến bạn xao nhãng việc học không?,"Có, mạng xã hội đôi khi khiến tôi phân tâm khỏi việc học."
Mạng xã hội có giúp bạn tập trung hơn khi học không?,"Đôi khi, khi tôi sử dụng nó để tìm tài liệu học."
Bạn có thể sử dụng mạng xã hội để cải thiện sự tập trung khi học như thế nào?,Bằng cách sử dụng các nhóm học tập và tắt thông báo.
Công nghệ ảnh hưởng đến sự tập trung của bạn như thế nào?,Nó có thể hỗ trợ hoặc làm giảm sự tập trung tùy vào cách sử dụng.
Thông báo từ điện thoại ảnh hưởng đến sự tập trung của bạn như thế nào?,Thông báo từ điện thoại làm tôi mất tập trung khá nhiều.
Mức độ ảnh hưởng của mạng xã hội đến sự tập trung của bạn là gì?,"Ảnh hưởng đáng kể, đặc biệt khi tôi lướt mạng xã hội quá lâu."
Mạng xã hội có giúp bạn cải thiện sự tập trung không?,"Có thể có, nếu sử dụng để tạo động lực học tập."
Bạn có thể kiểm soát sự ảnh hưởng của mạng xã hội đến sự tập trung của mình như thế nào?,Bằng cách giới hạn thời gian sử dụng và tắt thông báo khi học.
Bạn có cảm thấy áp lực phải duy trì hình ảnh trực tuyến không?,"Đôi khi, tôi cảm thấy áp lực phải duy trì hình ảnh trực tuyến."
Bạn có cảm thấy áp lực phải có nhiều lượt thích trên Instagram không?,"Có, đôi lúc tôi quan tâm đến lượt thích trên Instagram."
Bạn có thấy gánh nặng khi phải giữ gìn hình ảnh trên mạng xã hội không?,"Có, đặc biệt khi tôi cảm thấy mình cần tạo ấn tượng tốt."
Bạn có cảm thấy thoải mái khi không cần duy trì sự hiện diện trực tuyến không?,"Có, tôi cảm thấy thoải mái khi không phải duy trì sự hiện diện trực tuyến."
Làm thế nào để giảm bớt áp lực từ việc duy trì sự hiện diện trực tuyến?,Hạn chế thời gian sử dụng mạng xã hội và không quá để ý đến sự chú ý của người khác.
Công nghệ có ảnh hưởng đến lòng tự trọng của bạn không?,"Có, công nghệ có thể tác động đến lòng tự trọng theo cả hai hướng."
Việc so sánh bản thân với người khác trên Instagram có ảnh hưởng đến lòng tự trọng của bạn không?,"Có, việc so sánh bản thân với người khác trên Instagram có thể ảnh hưởng tiêu cực đến lòng tự trọng."
Mạng xã hội tác động đến sự tự tin của bạn như thế nào?,Nó có thể làm tăng hoặc giảm sự tự tin tùy vào cách tôi sử dụng.
Mạng xã hội có giúp bạn tăng cường lòng tự trọng không?,"Có, nếu tôi sử dụng nó để tìm động lực tích cực."
Làm thế nào để sử dụng mạng xã hội một cách lành mạnh và bảo vệ lòng tự trọng?,"Tránh so sánh bản thân, tập trung vào những điều tích cực và thực tế."
Bạn có so sánh bản thân với người khác qua các phương tiện truyền thông không?,"Đôi khi, nhưng tôi cố gắng không để nó ảnh hưởng đến bản thân."
Bạn có so sánh số lượng người theo dõi của mình với bạn bè trên Instagram không?,"Có, tôi từng so sánh số người theo dõi của mình với bạn bè."
Bạn có đối chiếu bản thân với người khác khi dùng mạng xã hội không?,Đôi lúc tôi đối chiếu bản thân với người khác trên mạng xã hội.
Bạn có cảm thấy tự tin hơn về bản thân khi dùng mạng xã hội không?,"Có, khi tôi nhận được phản hồi tích cực."
Việc so sánh bản thân với người khác trên mạng xã hội ảnh hưởng đến lòng tự trọng của bạn như thế nào?,Nó có thể khiến tôi cảm thấy tự ti hoặc động viên tôi phát triển bản thân.
Bạn cảm thấy thế nào khi nhận được phản hồi tích cực từ người khác trên mạng xã hội?,Tôi cảm thấy vui và được công nhận khi nhận phản hồi tích cực.
Bạn cảm thấy thế nào khi bài đăng của mình trên Facebook nhận được nhiều lượt thích?,Tôi cảm thấy hào hứng khi bài đăng có nhiều lượt thích.
Cảm xúc của bạn khi được người khác tương tác trên mạng xã hội là gì?,Tôi thấy vui khi có người tương tác nhưng không quá phụ thuộc vào nó.
Bạn cảm thấy thế nào khi không nhận được lượt thích hoặc bình luận nào?,Đôi khi tôi cảm thấy thất vọng nếu bài đăng không có tương tác.
Lượt thích và bình luận trên mạng xã hội có ảnh hưởng đến tâm trạng của bạn như thế nào?,"Chúng có thể ảnh hưởng đến tâm trạng, nhưng tôi cố gắng không để bị chi phối quá nhiều."
Bạn có sử dụng các nền tảng trực tuyến để mở rộng mạng lưới quan hệ không?,"Có, tôi sử dụng các nền tảng trực tuyến để mở rộng mạng lưới quan hệ."
Bạn có tham gia các nhóm Facebook để kết bạn với những người có cùng sở thích không?,"Có, tôi tham gia các nhóm Facebook để kết bạn với những người có cùng sở thích."
Bạn có dùng mạng xã hội để làm quen với người mới không?,"Có, tôi dùng mạng xã hội để làm quen với người mới."
Bạn có thích gặp gỡ người mới ngoài đời thực hơn là trên mạng xã hội không?,Tôi thích gặp gỡ người mới ngoài đời thực hơn.
Mạng xã hội giúp bạn mở rộng mạng lưới quan hệ như thế nào?,Nó giúp tôi kết nối với nhiều người từ khắp nơi trên thế giới.
Công nghệ đã ảnh hưởng đến các mối quan hệ ngoài đời thực của bạn như thế nào?,"Công nghệ có thể làm tôi gần gũi hơn với một số người, nhưng cũng xa cách với những người khác."
Mạng xã hội đã ảnh hưởng đến mối quan hệ của bạn với gia đình như thế nào?,Đôi khi mạng xã hội khiến tôi ít trò chuyện trực tiếp với gia đình hơn.
Mạng xã hội tác động đến các mối quan hệ trực tiếp của bạn ra sao?,Nó có thể giúp duy trì liên lạc nhưng cũng làm giảm tương tác trực tiếp.
Mạng xã hội có giúp củng cố các mối quan hệ ngoài đời thực của bạn không?,"Có, mạng xã hội giúp tôi giữ liên lạc với bạn bè."
Bạn có sử dụng mạng xã hội để duy trì mối quan hệ với bạn bè và gia đình không?,"Có, tôi thường xuyên sử dụng mạng xã hội để duy trì mối quan hệ."
Công nghệ có khiến bạn cảm thấy kết nối hay cô lập hơn không?,"Cả hai, công nghệ giúp tôi kết nối nhưng đôi khi cũng khiến tôi cảm thấy cô lập."
Việc dành nhiều thời gian trên Instagram có khiến bạn cảm thấy cô đơn hơn không?,"Có, nếu sử dụng quá nhiều, tôi có thể cảm thấy cô đơn hơn."
Mạng xã hội khiến bạn cảm thấy gần gũi hay xa cách hơn với mọi người?,"Tùy vào cách sử dụng, nó có thể giúp tôi gần gũi hoặc xa cách hơn với mọi người."
Bạn có cảm thấy mạng xã hội giúp bạn giảm bớt cảm giác cô đơn không?,"Có, mạng xã hội giúp tôi giảm bớt cảm giác cô đơn."
Mạng xã hội có thể được sử dụng như một công cụ để kết nối xã hội hiệu quả như thế nào?,Nó giúp tôi dễ dàng kết nối với mọi người dù ở xa.
Công nghệ có giúp bạn tìm kiếm cơ hội nghề nghiệp không?,"Có, công nghệ giúp tôi tìm kiếm cơ hội nghề nghiệp."
Bạn có tìm được cơ hội thực tập qua LinkedIn không?,"Có, tôi đã từng tìm được cơ hội thực tập qua LinkedIn."
Mạng xã hội có hỗ trợ bạn trong việc tìm kiếm việc làm không?,"Có, mạng xã hội giúp tôi tiếp cận nhiều cơ hội việc làm hơn."
Bạn có thích tìm kiếm việc làm qua các kênh truyền thống hơn là mạng xã hội không?,Tôi thích kết hợp cả hai phương thức để tìm việc.
Mạng xã hội có thể được sử dụng như một công cụ tìm kiếm việc làm hiệu quả như thế nào?,Nó giúp tôi tiếp cận thông tin tuyển dụng và kết nối với nhà tuyển dụng.
Bạn đã sử dụng các nền tảng trực tuyến để xây dựng mạng lưới nghề nghiệp chưa?,"Có, tôi đã sử dụng các nền tảng trực tuyến để xây dựng mạng lưới nghề nghiệp."
Bạn đã sử dụng LinkedIn để tìm kiếm người cố vấn trong ngành của mình chưa?,"Chưa, nhưng tôi đang cân nhắc việc tìm người cố vấn trên LinkedIn."
Bạn có dùng LinkedIn hoặc các trang tương tự để mở rộng mối quan hệ trong công việc không?,"Có, tôi sử dụng LinkedIn để mở rộng quan hệ trong công việc."
Bạn có thấy việc kết nối mạng lưới nghề nghiệp trực tuyến không hiệu quả không?,"Không, tôi thấy kết nối mạng lưới trực tuyến khá hiệu quả."
LinkedIn hoặc các nền tảng tương tự mang lại lợi ích gì cho sự nghiệp của bạn?,Nó giúp tôi tiếp cận cơ hội việc làm và học hỏi từ chuyên gia.
Bạn có thường xuyên tiếp cận nội dung giáo dục trực tuyến không?,"Có, tôi thường xuyên tiếp cận nội dung giáo dục trực tuyến."
Bạn có xem các video giáo dục trên YouTube không?,"Có, tôi xem nhiều video giáo dục trên YouTube."
Bạn có thường xuyên học hỏi từ các nội dung mang tính giáo dục trên mạng xã hội không?,"Có, tôi học hỏi từ nội dung giáo dục trên mạng xã hội."
Bạn có thích học qua sách vở và các phương pháp truyền thống hơn là qua mạng xã hội không?,Tôi thích kết hợp cả hai phương pháp để học tập.
Mạng xã hội có thể được sử dụng như một công cụ học tập hiệu quả như thế nào?,Nó giúp tôi tiếp cận thông tin mới và học tập linh hoạt hơn.
Bạn có theo dõi những người có ảnh hưởng trong lĩnh vực của mình trên mạng xã hội không?,"Có, tôi theo dõi những người có ảnh hưởng trong lĩnh vực của mình."
Bạn có theo dõi các nhà khoa học trên Twitter không?,"Thỉnh thoảng, tôi theo dõi một số nhà khoa học trên Twitter."
Bạn có cập nhật thông tin từ các chuyên gia trong lĩnh vực của mình trên mạng xã hội không?,"Có, tôi cập nhật thông tin từ các chuyên gia qua mạng xã hội."
Bạn có thích đọc các bài báo khoa học hơn là theo dõi các chuyên gia trên mạng xã hội không?,Tôi thích đọc các bài báo khoa học nhưng cũng theo dõi chuyên gia trên mạng xã hội.
Việc theo dõi những người có ảnh hưởng trên mạng xã hội mang lại lợi ích gì cho việc học tập và nghiên cứu của bạn?,"Giúp tôi tiếp cận thông tin mới, mở rộng kiến thức và có động lực học tập."
Bạn đã bao giờ bị bắt nạt hoặc quấy rối trên các nền tảng trực tuyến chưa?,"May mắn là chưa, tôi chưa bị bắt nạt trên mạng."
Bạn đã bao giờ nhận được tin nhắn đe dọa trên Facebook chưa?,"Chưa bao giờ, nhưng tôi biết một số người đã gặp phải tình huống đó."
Bạn có từng là nạn nhân của bạo lực mạng không?,"Không, tôi chưa từng là nạn nhân của bạo lực mạng."
Bạn có cảm thấy an toàn khi sử dụng mạng xã hội không?,Phần lớn thời gian tôi cảm thấy an toàn khi sử dụng mạng xã hội.
Làm thế nào để bảo vệ bản thân khỏi bị bắt nạt và quấy rối trực tuyến?,"Hạn chế chia sẻ thông tin cá nhân, chặn và báo cáo kẻ xấu nếu cần."
Bạn nghĩ các nền tảng trực tuyến có ảnh hưởng đến sức khỏe tâm thần của học sinh không?,"Có, các nền tảng trực tuyến có thể ảnh hưởng đến sức khỏe tâm thần của học sinh."
Bạn nghĩ Instagram có tác động thế nào đến sự tự tin của học sinh?,Instagram có thể làm tăng hoặc giảm sự tự tin tùy vào cách sử dụng.
Bạn nhận định mạng xã hội có tác động tốt hay xấu đến tinh thần học sinh?,"Cả hai, mạng xã hội có thể tác động tích cực hoặc tiêu cực đến tinh thần học sinh."
Mạng xã hội có giúp cải thiện sức khỏe tâm thần của học sinh không?,"Có, nếu sử dụng đúng cách, mạng xã hội có thể giúp cải thiện sức khỏe tâm thần."
Làm thế nào để sử dụng mạng xã hội một cách lành mạnh cho sức khỏe tâm thần của học sinh?,"Hạn chế thời gian sử dụng, theo dõi nội dung tích cực và tránh so sánh bản thân."
Các nền tảng trực tuyến ảnh hưởng đến tâm trạng hàng ngày của bạn như thế nào?,"Nó có thể làm tôi vui vẻ hoặc căng thẳng, tùy vào nội dung tôi tiếp cận."
Việc xem video trên TikTok ảnh hưởng đến tâm trạng của bạn như thế nào?,TikTok có thể giúp thư giãn nhưng cũng có thể làm mất thời gian.
Mạng xã hội tác động đến cảm xúc hàng ngày của bạn ra sao?,"Nó có thể làm tôi vui, nhưng đôi khi cũng khiến tôi lo lắng hoặc phân tâm."
Mạng xã hội có giúp cải thiện tâm trạng hàng ngày của bạn không?,"Có, mạng xã hội có thể giúp tôi cải thiện tâm trạng nếu tôi chọn nội dung phù hợp."
Bạn có thể sử dụng mạng xã hội để cải thiện tâm trạng của mình không?,Bằng cách theo dõi nội dung tích cực và tương tác với những người truyền cảm hứng.
Bạn có sử dụng các nền tảng trực tuyến để cập nhật tin tức không?,"Có, tôi sử dụng các nền tảng trực tuyến để cập nhật tin tức."
Bạn có xem tin tức trên Twitter không?,"Có, tôi xem tin tức trên Twitter."
Bạn có dùng mạng xã hội để theo dõi các sự kiện diễn ra không?,"Có, tôi theo dõi các sự kiện diễn ra qua mạng xã hội."
Bạn có thích đọc báo giấy hơn là cập nhật tin tức trên mạng xã hội không?,Tôi thích kết hợp cả báo giấy và mạng xã hội để cập nhật tin tức.
Mạng xã hội là nguồn thông tin tin cậy như thế nào đối với bạn?,Tôi luôn kiểm tra nguồn tin trước khi tin vào thông tin trên mạng xã hội.
Bạn đã bao giờ tham gia các hoạt động trực tuyến liên quan đến việc học chưa?,"Có, tôi đã tham gia các hoạt động học tập trực tuyến."
Bạn đã bao giờ tham gia các nhóm học tập trên Facebook chưa?,"Có, tôi từng tham gia các nhóm học tập trên Facebook."
Bạn có từng tham gia các diễn đàn học thuật trực tuyến không?,"Có, tôi tham gia một số diễn đàn học thuật trực tuyến."
Bạn có thích học nhóm trực tiếp hơn là trực tuyến không?,Tôi thích học nhóm trực tiếp hơn vì có sự tương tác tốt hơn.
Các diễn đàn trực tuyến có thể hỗ trợ việc học của bạn như thế nào?,"Nó giúp tôi tiếp cận tài liệu, trao đổi kiến thức và học hỏi từ người khác."
Bạn có sử dụng các nền tảng trực tuyến để làm việc nhóm không?,"Có, tôi sử dụng các nền tảng trực tuyến để làm việc nhóm."
Bạn có sử dụng Google Docs hoặc các công cụ tương tự để làm việc nhóm không?,"Có, tôi sử dụng Google Docs và các công cụ tương tự để làm việc nhóm."
Bạn có dùng mạng xã hội để phối hợp thực hiện các dự án nhóm không?,"Có, tôi dùng mạng xã hội để phối hợp thực hiện các dự án nhóm."
Bạn có thích gặp mặt trực tiếp để làm việc nhóm hơn là làm việc qua mạng xã hội không?,Tôi thích gặp mặt trực tiếp để làm việc nhóm hơn.
Mạng xã hội giúp việc làm việc nhóm hiệu quả hơn như thế nào?,"Nó giúp chia sẻ tài liệu, trao đổi thông tin nhanh chóng và thuận tiện."
Các nền tảng trực tuyến đã thay đổi cách bạn giao tiếp với mọi người như thế nào?,Tôi giao tiếp nhiều hơn qua tin nhắn và ít gặp mặt trực tiếp hơn.
Mạng xã hội đã ảnh hưởng đến việc bạn giữ liên lạc với bạn bè ở xa như thế nào?,Nó giúp tôi giữ liên lạc với bạn bè ở xa dễ dàng hơn.
Mạng xã hội tác động đến cách bạn trò chuyện với bạn bè và gia đình ra sao?,Tôi trò chuyện nhiều hơn nhưng ít gặp trực tiếp hơn.
Mạng xã hội có giúp bạn duy trì mối quan hệ tốt đẹp hơn với bạn bè và gia đình không?,"Có, mạng xã hội giúp tôi duy trì mối quan hệ với bạn bè và gia đình."
Bạn có cảm thấy giao tiếp qua mạng xã hội hiệu quả hơn giao tiếp trực tiếp không?,"Không, tôi vẫn thấy giao tiếp trực tiếp hiệu quả hơn."
Bạn có cảm thấy lo lắng khi không thể truy cập internet không?,"Có, đôi khi tôi cảm thấy lo lắng khi không thể truy cập internet."
Bạn có cảm thấy lo lắng khi không thể xem Instagram không?,"Không, tôi không quá lo lắng khi không thể xem Instagram."
Bạn có thấy bất an khi không thể dùng mạng xã hội không?,Đôi khi tôi cảm thấy bất an nếu không dùng mạng xã hội trong thời gian dài.
Bạn có cảm thấy thoải mái khi không dùng mạng xã hội không?,"Có, tôi cảm thấy thoải mái hơn khi không dùng mạng xã hội."
Việc không thể truy cập mạng xã hội ảnh hưởng đến cuộc sống của bạn như thế nào?,Nó làm tôi cảm thấy bị ngắt kết nối với mọi người.
Bạn đã bao giờ cân nhắc việc tạm dừng sử dụng các nền tảng trực tuyến chưa?,"Có, tôi đã từng cân nhắc tạm dừng sử dụng các nền tảng trực tuyến."
Bạn đã bao giờ cân nhắc việc xóa ứng dụng TikTok chưa?,"Chưa, tôi chưa cân nhắc xóa TikTok."
Bạn có từng nghĩ đến việc ngưng sử dụng mạng xã hội không?,Đôi khi tôi nghĩ đến việc ngưng sử dụng mạng xã hội.
Bạn có nghĩ việc sử dụng mạng xã hội liên tục mang lại lợi ích cho bạn không?,Có lợi nhưng cũng có nhiều tác hại nếu không kiểm soát tốt.
Bạn sẽ làm gì nếu không sử dụng mạng xã hội?,Tôi sẽ dành thời gian cho các hoạt động ngoài đời thực nhiều hơn.
Bạn có nghĩ nghiện công nghệ là một vấn đề thực sự ở sinh viên không?,"Có, nghiện công nghệ là một vấn đề thực sự ở sinh viên."
Bạn có nghĩ việc dành quá nhiều thời gian cho TikTok là một vấn đề ở sinh viên không?,"Có, nhiều sinh viên dành quá nhiều thời gian trên TikTok."
Bạn có cho rằng nghiện mạng xã hội là một vấn đề nghiêm trọng với sinh viên không?,"Có, nghiện mạng xã hội có thể ảnh hưởng đến việc học và sức khỏe tinh thần."
Bạn có nghĩ việc sử dụng mạng xã hội giúp sinh viên giải tỏa căng thẳng không?,"Có, nhưng cũng có thể gây xao nhãng nếu lạm dụng."
Làm thế nào để giúp sinh viên kiểm soát việc sử dụng mạng xã hội?,"Hạn chế thời gian sử dụng, đặt mục tiêu và ưu tiên việc học."
